Step Temp Press PotEng Nconf Lcom[3] Ucom[3] fe fx fy fz fse fsx fsy fsz 
    3900     301.8983    111.21017   -683303.88          494    93.246746    120.73934   -501.99418   -13.294216  0.063206419   -57.772386   -14944.881    149.78738   -33.813964    133.58513 
    4000    302.08775   -17.450566   -683093.75          495    93.253188    120.74659   -516.05641   -14.083898  0.066113698   -57.869994   -14950.277    82.352479    58.339465    53.333277 
    4100    303.97662   -164.99365   -683147.72          495    93.257643    120.75257   -525.45181   -12.496232   0.36288335    -58.75022   -15000.693     32.81369    16.049743    227.68589 
    4200    301.16838   -294.25156   -683225.87          496    93.260809    120.75573   -522.87087   -11.595474   0.21122078   -58.537251   -14859.647   -30.788125    116.25808    193.10788 
    4300    298.75769     155.8123    -683188.4          491    93.259528    120.75277   -529.89301   -12.410355   0.33284923    -58.87568   -14956.913    -111.8503   -27.979475   -94.740387 
    4400    299.32264    68.244301   -683174.67          492    93.252694    120.74635   -524.92578   -12.936213   0.29601502    -58.57802   -14942.881    67.556934   -37.010082   -22.476912 
    4500    300.46261    85.672071   -683110.91          495    93.247863    120.74278   -524.21037   -11.494129   0.13081694   -59.417921   -15003.083    118.22562    39.133423    102.63483 
    4600    301.18673    156.65949   -683091.02          496    93.248522    120.74245   -520.14772   -13.285247   0.20090669   -59.297175   -15109.597    9.1504424   -119.51946    36.720731 
    4700     302.2192   -232.41277    -683307.6          493    93.247003    120.74061   -520.07062   -14.092476   0.29445263     -58.9172   -15039.909    89.034706    66.412763    74.279697 
    4800    299.13361    20.204578   -683379.04          491    93.249566    120.74152   -510.84294   -12.584865   0.30704925   -57.791178   -15096.617    85.504218    16.871546   -7.1401363 
    4900    299.47813    52.092357   -683451.39          496    93.250531    120.74242   -519.79608   -13.445014  0.039995436   -58.472185    -15083.89   -22.538907    60.719921   -1.4162129 
    5000    299.48216   -87.041329   -683336.58          491    93.258893    120.75239   -506.73854   -13.065614   0.21578292    -57.53286   -15037.128    91.419741    2.3079191   -156.87605 
    5100    304.44954   -337.50188   -683343.48          496    93.261192    120.75597   -508.77734    -12.75326   0.25404675   -58.659175   -15051.407    51.476921    41.370075   -60.916365 
    5200    302.36273   -75.969193   -683195.92          497    93.268142    120.76144    -511.2164   -12.487344   0.17497474   -57.037702   -15043.684    56.860906   -99.043671   -24.248693 
    5300    301.71153    322.51495   -683267.07          498    93.271602    120.76435   -503.25877   -14.036053    0.1868963   -57.065669   -15048.313   -6.9003801   -2.4943168    108.20087 
    5400    299.49607   -419.07409   -683286.42          496    93.271611     120.7668   -517.16385   -13.098618   0.34751855   -58.595211   -15069.441     42.40451   -2.9574661    212.05598 
    5500    300.38612   -576.21031   -683441.97          498    93.277885    120.77391   -504.03696   -13.526616   0.13291146   -57.536084   -15003.766    144.88983   -83.098326    70.838402 
    5600    302.42787   -350.45389    -683563.4          494    93.280177    120.77696   -524.62812   -12.223221   0.29272643   -58.312683   -15094.839    33.328473    118.76684    4.2383981 
    5700    300.43783    19.520281   -683440.72          499    93.282447    120.77636   -512.88719    -13.20828   0.26189639   -57.521092   -15023.249  -0.72813423   0.30257501   -170.98203 
    5800    296.43788   -64.075655   -683493.97          499    93.284543    120.78087   -515.89455   -12.972706 -0.00044133722   -57.715692   -15024.695    25.829401   -69.900086    279.89565 
    5900    297.37201    233.21397   -683652.85          499    93.288024    120.78251   -505.68386   -13.628868 -0.014134191   -57.126011   -15077.684   -59.335569   -97.465857    -155.9376 
    6000    298.10768    123.11112   -683540.29          500    93.291511    120.78509   -512.37215   -13.488969   0.32845728   -57.320376   -15009.527   -48.743453    48.599086    157.53224 
    6100     298.2184   -220.22235   -683327.96          498    93.294304    120.79044   -528.03931   -14.099526  0.036369526   -58.549753   -15033.363   -3.5264562   -42.911128   -116.21813 
    6200    301.62596   -155.63744    -683413.6          499    93.296166     120.7935   -532.25953   -12.812822   0.27170806   -59.041438   -14991.813    69.435475   -40.768187    25.075538 
    6300    298.75981   -90.645212   -683354.26          499    93.298117    120.79413   -516.04259   -12.701097   0.27347165   -58.019489   -15066.132   -69.946704    18.479656    104.93834 
    6400    295.24574    1.6189644   -683359.76          499     93.29408    120.78968   -515.18496   -13.800938  0.042137411   -57.758619   -14997.303    61.003647   -81.775975   -24.412663 
    6500    300.78573   -275.30842   -683595.25          497    93.284153    120.78068   -514.53888   -13.666959   0.28239827   -57.679805   -15025.588    40.494872   -17.664672   -8.2898257 
    6600    301.72305    -444.2143   -683361.67          495    93.282362    120.77818   -515.25644   -13.805669   0.31246684   -57.864206   -15116.351    93.575841    92.825942    33.102327 
    6700    299.57908   -103.46586      -683247          495    93.277911    120.77261   -512.81225   -15.771073   0.20997975    -57.30857   -14974.211    171.04053    155.99654    156.19326 
    6800    300.12438    144.10432   -683325.15          494    93.276892    120.76947    -521.2088   -13.614263   0.26540369   -58.005036   -15050.806    128.06664  -0.54250429   -63.080187 
    6900    301.49538   -20.999569   -683385.74          496    93.266659    120.76094   -511.82798   -12.608366   0.31450634   -57.979202   -14976.486    114.70003   -24.583258   -151.11736 
    7000    301.82797   -106.44926   -683244.81          493    93.261507    120.75606   -506.88196   -15.624586    0.4726729   -56.776165    -15076.67   -79.138348    -86.23374    9.9687109 
    7100    303.57884    577.44439   -683236.45          491    93.256619    120.74988   -517.13869   -14.272671  0.094863674   -57.976627   -15085.244    82.454687    28.302797    166.11534 
    7200    302.57847   -70.384711   -683287.15          492    93.257076    120.75316   -519.16138   -12.433472   0.19213142   -58.338648   -14945.817   -108.39015    21.161698    63.971921 
    7300    300.44894    527.27294   -683356.07          495    93.262824     120.7567   -506.88977   -14.694478   0.16646128   -57.844743   -14974.291    85.558314   -1.4580846   -2.3270204 
    7400    301.04188   -383.04914   -683441.55          498    93.270616    120.76804   -523.78922   -13.035194   0.19651027   -59.097469   -15067.369    182.36976    36.278633    28.679505 
    7500    302.32153   -42.225539   -683526.73          495    93.280045    120.77733   -531.10325   -12.933787   0.23771159   -59.216648   -14977.007    64.048468   -98.646665     46.26974 
    7600    300.01633   -428.23478   -683558.13          493    93.289795    120.78881   -503.70275   -11.850659   0.45469462    -57.00131   -14989.528     60.20015    60.918658    38.765945 
    7700    298.85438   -142.70519   -683631.73          495    93.296101    120.79352   -509.61694   -13.797778   0.25545275   -57.954278   -15086.656    98.717978    86.224143    168.39024 
    7800    299.11964   -379.04212   -683593.21          491    93.301286    120.79908   -506.26208   -14.538111    0.7464096   -57.230981   -15068.423    98.163985   -33.546824    178.22073 
    7900    298.72052    109.08999   -683245.17          497    93.299639    120.79612   -512.06536   -14.172375   0.44240087   -57.012523   -15068.021    20.041124   -13.931618    38.906046 
    8000    298.67337   -175.57803   -683261.13          499    93.303584     120.7995   -515.66187   -12.511415   0.29170693   -58.715659   -15180.808    14.959075    11.211993    93.035936 
    8100    300.46777   -7.0067001   -683402.84          490    93.308609    120.80233   -506.51174   -12.859191   0.29158461   -57.324179   -15009.989   -53.579445   -29.679776   -67.700871 
    8200    301.10128   -237.22515   -683587.02          493    93.312059    120.80493   -516.20525   -14.954672   0.32593349   -58.676883   -15164.446    31.081559    87.803135   -75.444149 
    8300    297.75157    247.16034   -683524.27          491    93.313754    120.80676   -517.18485   -15.270697   0.23851585   -58.573375   -15050.176   -61.590891   -69.200364     46.57132 
    8400    297.74407    39.358979   -683422.07          496     93.31294     120.8067   -525.61483   -12.950931   0.44424409   -59.536806   -15035.788     15.67237   -10.237451    203.91064 
    8500     301.6182    170.69831   -683452.16          493    93.309828    120.80279    -519.7156   -11.671011  0.055017079   -58.424636     -15040.6    90.054457   -41.918665    64.928644 
    8600    301.10284    365.23619   -683280.81          497    93.313903    120.80568   -518.60787   -12.604003   0.29701059   -58.233563   -15091.377    52.683326     58.07102    14.118445 
    8700    304.73401   -81.821547   -683358.54          498    93.320882    120.81504   -521.89532   -12.684447   0.28471593   -58.117544   -15164.376    107.59733   -50.647749    -71.85908 
    8800    299.30682     58.29245   -683184.18          494    93.330066    120.82474   -517.28531   -13.853227   0.13276746   -57.899591   -15082.748    89.730448    3.3649691    15.625117 
    8900    301.40408    85.416169   -683494.55          497    93.338619    120.83261   -532.80711   -11.425914   0.10600999   -59.604862   -15071.706    83.949691    89.364247    184.96783 
    9000    299.35335   -130.69223   -683368.72          498     93.34364    120.84026   -530.60971   -12.252474  0.028727101   -59.167411   -15027.089   -98.736448   -7.8771902    -11.07614 
    9100    300.85999     -110.047   -683310.31          495    93.336776    120.83341   -510.66398   -13.888296    0.3272091   -56.924872   -14975.074    160.02552    2.2525458   -212.22276 
    9200    301.86027    32.936287   -683317.21          499     93.33124    120.82605    -529.5168   -12.754832  0.094914353    -59.29933   -15115.712   -91.049179   -7.5135989   -96.117366 
