LAMMPS data file. CGCMM style. atom_style full generated by VMD/TopoTools v1.5 on Wed Sep 21 15:16:10 BST 2016
 3000 atoms
 3 atom types
 -24.647512 24.746184  xlo xhi
 -20.284236 20.436925  ylo yhi
 -9.033983 8.966017  zlo zhi

# Pair Coeffs
#
# Ca  1
# C  2
# O  3


 Masses

 1 40.080000 # Ca
 2 12.010700 # C
 3 15.999400 # O

 Atoms

78 17 3 -1.041094 -9.651583 -19.322048 4.760453 # O 
79 14 3 -1.041094 -7.958075 -19.093431 0.727715 # O 
80 14 3 -1.041094 -9.939698 -18.352612 1.470050 # O 
81 14 3 -1.041094 -8.041792 -17.438370 2.238534 # O 
82 13 3 -1.041094 -10.484378 -18.431767 -6.850950 # O 
83 13 3 -1.041094 -12.412836 -19.223043 -7.679421 # O 
84 13 3 -1.041094 -10.480163 -20.254002 -8.158268 # O 
85 16 3 -1.041094 -14.184420 -15.198775 8.275125 # O 
86 16 3 -1.041094 -14.438165 -16.955832 6.904429 # O 
87 16 3 -1.041094 -12.394115 -16.114561 7.281405 # O 
88 15 3 -1.041094 -9.968482 -17.259525 -1.531591 # O 
89 15 3 -1.041094 -11.990061 -16.575134 -0.842637 # O 
90 15 3 -1.041094 -11.819709 -18.214708 -2.363596 # O 
91 19 1 2.000000 -6.193321 -18.065462 7.710725 # Ca 
92 20 1 2.000000 -8.733116 -19.357555 -1.478619 # Ca 
93 21 1 2.000000 -6.343121 -18.325994 -4.509213 # Ca 
94 22 1 2.000000 -3.659891 -17.262897 4.514857 # Ca 
95 23 1 2.000000 -6.201942 -16.286249 1.391223 # Ca 
96 24 1 2.000000 -8.574971 -17.289738 -7.615479 # Ca 
97 24 2 1.123282 -8.654798 -20.373421 -4.759613 # C 
98 23 2 1.123282 -6.185219 -19.249035 4.399743 # C 
99 20 2 1.123282 -3.786116 -18.356863 1.413611 # C 
100 19 2 1.123282 -6.250223 -19.323652 -7.622496 # C 
101 22 2 1.123282 -8.763827 -16.273716 7.741912 # C 
102 21 2 1.123282 -6.155825 -17.505756 -1.553299 # C 
103 24 3 -1.041094 -9.325345 -21.233036 -5.459065 # O 
104 24 3 -1.041094 -7.362270 -20.343235 -4.837502 # O 
105 24 3 -1.041094 -9.307061 -19.489304 -3.847095 # O 
106 23 3 -1.041094 -6.694628 -18.174580 5.409280 # O 
107 23 3 -1.041094 -4.706190 -19.295174 4.235974 # O 
108 23 3 -1.041094 -6.983435 -20.088165 3.819716 # O 
109 20 3 -1.041094 -5.077791 -18.273880 1.408790 # O 
110 20 3 -1.041094 -3.192068 -19.249523 0.688501 # O 
111 20 3 -1.041094 -3.087994 -17.546318 2.143487 # O 
112 19 3 -1.041094 -7.521309 -19.200975 -7.831665 # O 
113 19 3 -1.041094 -5.656710 -18.552349 -6.768590 # O 
114 19 3 -1.041094 -5.571718 -20.218487 -8.266604 # O 
115 22 3 -1.041094 -9.111718 -17.115494 6.822305 # O 
116 22 3 -1.041094 -9.670442 -15.633880 8.410319 # O 
117 22 3 -1.041094 -7.510313 -16.070974 7.994287 # O 
118 21 3 -1.041094 -4.868176 -17.370129 -1.547733 # O 
119 21 3 -1.041094 -6.895323 -16.680950 -0.882906 # O 
120 21 3 -1.041094 -6.703880 -18.463741 -2.229327 # O 
121 25 1 2.000000 -1.227156 -18.115591 7.588012 # Ca 
122 26 1 2.000000 -3.736223 -19.386911 -1.628271 # Ca 
123 27 1 2.000000 -1.244373 -18.240543 -4.619507 # Ca 
124 28 1 2.000000 1.165245 -17.167532 4.662339 # Ca 
125 29 1 2.000000 -1.313200 -16.227530 1.383149 # Ca 
126 30 1 2.000000 -3.659283 -17.528584 -7.618132 # Ca 
127 30 2 1.123282 -3.671946 -20.502785 -4.629459 # C 
128 29 2 1.123282 -1.033966 -19.179537 4.579841 # C 
129 26 2 1.123282 1.143654 -18.348396 1.602141 # C 
130 25 2 1.123282 -1.305923 -19.346212 -7.703720 # C 
131 28 2 1.123282 -3.796471 -16.205393 7.593221 # C 
132 27 2 1.123282 -1.270620 -17.449997 -1.530634 # C 
133 30 3 -1.041094 -2.413351 -20.222315 -4.525202 # O 
134 30 3 -1.041094 -4.072277 -21.371063 -5.503237 # O 
135 30 3 -1.041094 -4.651506 -19.825415 -3.839085 # O 
136 29 3 -1.041094 -1.937227 -20.208656 3.831704 # O 
137 29 3 -1.041094 -1.776974 -18.172337 5.386003 # O 
138 29 3 -1.041094 0.258474 -19.255901 4.569476 # O 
139 26 3 -1.041094 1.863329 -17.657219 2.427609 # O 
140 26 3 -1.041094 -0.133839 -18.151340 1.536485 # O 
141 26 3 -1.041094 1.701918 -19.235271 0.842671 # O 
142 25 3 -1.041094 -2.587719 -19.473545 -7.830551 # O 
143 25 3 -1.041094 -0.510830 -20.181606 -8.291981 # O 
144 25 3 -1.041094 -0.817955 -18.383846 -6.988105 # O 
145 28 3 -1.041094 -4.405527 -16.945786 6.723821 # O 
146 28 3 -1.041094 -4.480150 -15.532438 8.463754 # O 
147 28 3 -1.041094 -2.503780 -16.136234 7.591880 # O 
148 27 3 -1.041094 0.012749 -17.371519 -1.379164 # O 
